MLC ID,Commitment,Reporting Lead,All ministers
841,Establish a federal public registry and require producers to report annually on plastics in the Canadian economy.,Minister of Environment and Climate Change,Minister of Environment and Climate Change
842,Create a new infrastructure and innovation fund that will scale-up and commercialize made-in-Canada technologies and solutions for the reuse and recycling of plastics.,"Minister of Innovation, Science and Industry","Minister of Innovation, Science and Industry; Minister of Environment and Climate Change"
843,Work with leading countries on the development of a new global agreement on plastics.,Minister of Environment and Climate Change,Minister of Environment and Climate Change; Minister of Foreign Affairs
844,Enact a strengthened Canadian Environmental Protection Act to protect against toxic substances.,Minister of Environment and Climate Change,Minister of Environment and Climate Change; Minister of Health
845,"Identify, and prioritize the clean-up of, contaminated sites in areas where Indigenous Peoples, racialized and low- income Canadians live.",Minister of Environment and Climate Change,"Minister of Environment and Climate Change; Minister of Crown-Indigenous Relations; Minister of Northern Affairs, Minister responsible for Prairies Economic Development Canada, and Minister responsible for the Canadian Northern Economic Development Agency"
846,Recognize the “right to a healthy environment” in federal law.,Minister of Environment and Climate Change,Minister of Environment and Climate Change; Minister of Health
849,Require businesses to inform Canadians of the environmental impacts of consumer products.,Minister of Environment and Climate Change,"Minister of Environment and Climate Change; Minister of Innovation, Science and Industry"
851,Ensure Canada meets its goals to conserve 25 per cent of lands and inland waters by 2025 and 30 per cent of each by 2030.,Minister of Environment and Climate Change,"Minister of Environment and Climate Change; Minister of Fisheries, Oceans and the Canadian Coast Guard"
852,"Work with First Nations, Inuit and Métis partners to support and establish new Indigenous Guardians programs and Networks.",Minister of Environment and Climate Change,Minister of Environment and Climate Change
853,Support Indigenous communities to build capacity to establish more Indigenous Protected and Conserved Areas.,Minister of Environment and Climate Change,"Minister of Environment and Climate Change; Minister of Fisheries, Oceans and the Canadian Coast Guard"
854,"Establish 10 new national parks and 10 new national marine conservation areas (NMCAs) in the next five years, and work with Indigenous communities on co-management agreements.",Minister of Environment and Climate Change,"Minister of Environment and Climate Change; Minister of Fisheries, Oceans and the Canadian Coast Guard; Minister of Transport"
855,"Establish at least one new national urban park in every province and territory, with a target of 15 new urban parks by 2030, and invest in existing national parks.",Minister of Environment and Climate Change,"Minister of Environment and Climate Change; Minister of Tourism and Associate Minister of Finance; Minister of Intergovernmental Affairs, Infrastructure and Communities; Minister of Crown-Indigenous Relations"
858,"Work in partnership with First Nations, Inuit and the Métis Nation to address climate change and its impacts, and chart collaborative strategies.",Minister of Environment and Climate Change,"Minister of Environment and Climate Change; Minister of Crown-Indigenous Relations; 
Minister of Indigenous Services and Minister responsible for the Federal Economic Development Agency for Northern Ontario; Minister of Natural Resources"
859,"Help protect old growth forests by reaching a nature agreement with B.C. and establishing a $50 million B.C. Old Growth Nature Fund and ensuring that First Nations, local communities and workers are partners in shaping the path forward for nature protection.",Minister of Environment and Climate Change,Minister of Environment and Climate Change; Minister of Natural Resources
861,"Continue to build and connect the Trans Canada Trail, create new opportunities for Canadians to access it, and create 10,000 jobs over the next five years.",Minister of Environment and Climate Change,Minister of Environment and Climate Change; Minister of Tourism and Associate Minister of Finance
862,"Upgrade the infrastructure of the Meteorological Service of Canada, including information technology, to ensure it can effectively perform its functions.",Minister of Environment and Climate Change,Minister of Environment and Climate Change; Minister of Public Services and Procurement
863,Curb illegal wildlife trade and end elephant and rhinoceros tusk trade in Canada.,Minister of Environment and Climate Change,Minister of Environment and Climate Change; Minister of Public Safety
864,Introduce legislation to protect animals in captivity.,Minister of Environment and Climate Change,Minister of Environment and Climate Change
865,Introduce comprehensive legislation to protect federally-owned historic places.,Minister of Environment and Climate Change,"Minister of Environment and Climate Change; Minister of Crown-Indigenous Relations; Minister of Public Services and Procurement; Minister of Fisheries, Oceans and the Canadian Coast Guard; Minister of National Defence"
866,"Introduce legislation to require the development of an environmental justice strategy and the examination of the link between race, socio-economic status and exposure to environmental risk.",Minister of Environment and Climate Change,Minister of Environment and Climate Change; Minister of Health; Minister of Indigenous Services and Minister responsible for the Federal Economic Development Agency for Northern Ontario
867,"Implement a strengthened Freshwater Action Plan, including funding to protect and restore large lakes and rivers systems.",Minister of Environment and Climate Change,Minister of Environment and Climate Change; Minister of Agriculture and Agri-Food
868,Invest in existing national parks.,Minister of Environment and Climate Change,Minister of Environment and Climate Change; Minister of Public Services and Procurement
869,Engage with Canadians to better communicate the impact of climate changes.,Minister of Environment and Climate Change,Minister of Environment and Climate Change
870,"Ban thermal coal exports as swiftly as possible, and no later than 2030.",Minister of Environment and Climate Change,"Minister of Environment and Climate Change; Minister of International Trade, Export Promotion, Small Business and Economic Development; Minister of Foreign Affairs; Minister of Natural Resources; Minister of Justice and Attorney General of Canada; Minister of Transport"
871,"Work to halt and reverse nature loss by 2030 in Canada, and achieve a full recovery for nature by 2050.",Minister of Environment and Climate Change,"Minister of Environment and Climate Change; Minister of Fisheries, Oceans and the Canadian Coast Guard"
872,"Champion internationally the goal to work to halt and reverse nature loss by 2030 in Canada, and achieve a full recovery for nature by 2050.",Minister of Environment and Climate Change,"Minister of Environment and Climate Change; Minister of Fisheries, Oceans and the Canadian Coast Guard"
901,Conclude negotiations and implement agreements for a Canada-wide Early Learning and Child Care system.,"Minister of Families, Children and Social Development","Minister of Families, Children and Social Development; Minister for Women and Gender Equality and Youth"
902,Reduce fees for regulated child care by 50 per cent on average by the end of 2022 everywhere outside of Quebec.,"Minister of Families, Children and Social Development","Minister of Families, Children and Social Development; Minister for Women and Gender Equality and Youth"
903,Reduce regulated child care fees to $10 a day on average by the end of fiscal year 2025-2026 everywhere outside Quebec.,"Minister of Families, Children and Social Development","Minister of Families, Children and Social Development; Minister for Women and Gender Equality and Youth"
904,"Build 250,000 new high-quality child care spaces and hire 40,000 more early childhood educators by the end of fiscal year 2025-2026.","Minister of Families, Children and Social Development","Minister of Families, Children and Social Development; Minister for Women and Gender Equality and Youth"
905,Introduce federal child care legislation to strengthen and protect a high-quality Canada-wide child care system.,"Minister of Families, Children and Social Development","Minister of Families, Children and Social Development; Minister of Indigenous Services and Minister responsible for the Federal Economic Development Agency for Northern Ontario; Minister of Crown-Indigenous Relations; Minister for Women and Gender Equality and Youth; Minister of Health"
906,Establish a National Advisory Council on Early Learning and Child Care.,"Minister of Families, Children and Social Development",Minister for Women and Gender Equality and Youth; Minister of Indigenous Services and Minister responsible for the Federal Economic Development Agency for Northern Ontario
907,Advance work with provinces and territories to reduce fees for families for before and after school care.,"Minister of Families, Children and Social Development","Minister of Families, Children and Social Development; Minister for Women and Gender Equality and Youth"
908,Ensure the Federal Secretariat on Early Learning and Child Care is fully resourced and operational by early 2023.,"Minister of Families, Children and Social Development","Minister of Families, Children and Social Development; Minister for Women and Gender Equality and Youth"
909,"Work with Indigenous partners to ensure that Indigenous children have access to a culturally appropriate Indigenous Early Learning and Child Care system that meets the needs of Indigenous families wherever they live, including creating 3,300 new child care spaces.","Minister of Families, Children and Social Development","Minister of Families, Children and Social Development; Minister of Indigenous Services and Minister responsible for the Federal Economic Development Agency for Northern Ontario and Minister responsible for the Federal Economic Development Agency for Northern Ontario; Minister of Health"
912,Work with Indigenous partners to support before and after school care for First Nations children on reserve.,"Minister of Families, Children and Social Development","Minister of Families, Children and Social Development; Minister of Indigenous Services and Minister responsible for the Federal Economic Development Agency for Northern Ontario; Minister of Crown-Indigenous Relations"
913,Advance implementation of the Community Services Recovery Fund.,"Minister of Families, Children and Social Development","Minister of Families, Children and Social Development"
914,"Advance the Social Innovation and Social Finance Strategy, including fully implementing the Social Finance Fund and launching the Social Innovation Advisory Council.","Minister of Families, Children and Social Development","Minister of Families, Children and Social Development"
915,Continue leading implementation of the 2030 Agenda for Sustainable Development.,"Minister of Families, Children and Social Development","Minister of Families, Children and Social Development"
917,Provide seniors with a single point of access to government services and benefits.,"Minister of Families, Children and Social Development","Minister of Families, Children and Social Development; Minister of Seniors; President of the Treasury Board"
918,"Develop and implement a modern, resilient, secure and reliable services and benefit delivery system.","Minister of Families, Children and Social Development","Minister of Families, Children and Social Development; Minister of Public Services and Procurement; President of the Treasury Board; Minister of Seniors; Minister of Employment, Workforce Development and Disability Inclusion"
920,Implement the Supporting Black Canadian Communities Initiative.,"Minister of Families, Children and Social Development","Minister of Families, Children and Social Development; Minister of Housing and Diversity and Inclusion"
921,Ensure the voices and needs of children are represented in the Government's agenda.,"Minister of Families, Children and Social Development","Minister of Families, Children and Social Development; Minister for Women and Gender Equality and Youth; Minister of Canadian Heritage and Quebec Lieutenant; Minister of Justice and Attorney General of Canada; Minister of Health; Minister of Indigenous Services and Minister responsible for the Federal Economic Development Agency for Northern Ontario"
922,Deliver Canada’s Poverty Reduction Strategy.,"Minister of Families, Children and Social Development","Minister of Families, Children and Social Development"
1001,Continue to implement the modernized Fisheries Act.,"Minister of Fisheries, Oceans and the Canadian Coast Guard","Minister of Fisheries, Oceans and the Canadian Coast Guard"
1002,Work with partners to grow Canada's ocean and freshwater economy and support the long-term sustainable growth of Canada's fish and seafood sector.,"Minister of Fisheries, Oceans and the Canadian Coast Guard","Minister of Fisheries, Oceans and the Canadian Coast Guard; Minister of Environment and Climate Change; Minister of Crown-Indigenous Relations; Minister of Northern Affairs, Minister responsible for Prairies Economic Development Canada, and Minister responsible for the Canadian Northern Economic Development Agency; Minister of International Trade, Export Promotion, Small Business and Economic Development; Minister of Indigenous Services and Minister responsible for the Federal Economic Development Agency for Northern Ontario; Minister responsible for the Federal Economic Development Agency for Southern Ontario; Minister of Official Languages and Minister responsible for the Atlantic Canada Opportunities Agency; Minister of International Development and Minister responsible for the Pacific Economic Development Agency of Canada; Minister of Sport and Minister responsible for the Economic Development Agency of Canada for the Regions of Quebec; Minister of Northern Affairs, Minister responsible for Prairies Economic Development Canada, and Minister responsible for the Canadian Northern Economic Development Agency"
1004,Work with partners and implicated communities to implement the Pacific Salmon Strategy.,"Minister of Fisheries, Oceans and the Canadian Coast Guard","Minister of Fisheries, Oceans and the Canadian Coast Guard"
1005,Make new investments and develop a conservation strategy to restore and rebuild wild Atlantic salmon populations and their habitats.,"Minister of Fisheries, Oceans and the Canadian Coast Guard","Minister of Fisheries, Oceans and the Canadian Coast Guard"
1006,"Ensure Canada meets its goals to conserve 25 per cent of its oceans by 2025 and 30 per cent by 2030, and champion this goal internationally.","Minister of Fisheries, Oceans and the Canadian Coast Guard","Minister of Fisheries, Oceans and the Canadian Coast Guard; Minister of Environment and Climate Change; Minister of Natural Resources; Minister of Crown-Indigenous Relations; Minister of Northern Affairs, Minister responsible for Prairies Economic Development Canada, and Minister responsible for the Canadian Northern Economic Development Agency"
1008,Renew and expand the Coastal Restoration Fund.,"Minister of Fisheries, Oceans and the Canadian Coast Guard","Minister of Fisheries, Oceans and the Canadian Coast Guard"
1009,Expand the Ghost Gear Program to clean up lost and abandoned fishing gear and ocean plastics.,"Minister of Fisheries, Oceans and the Canadian Coast Guard","Minister of Fisheries, Oceans and the Canadian Coast Guard; Minister of Environment and Climate Change"
1010,Support community shoreline and oceans plastic cleanup efforts.,Minister of Environment and Climate Change,"Minister of Environment and Climate Change; Minister of Fisheries, Oceans and the Canadian Coast Guard"
1013,Work with Indigenous partners to better integrate traditional knowledge into planning and policy decisions.,"Minister of Fisheries, Oceans and the Canadian Coast Guard","Minister of Fisheries, Oceans and the Canadian Coast Guard"
1014,"Advance consistent, sustainable and collaborative fisheries arrangements with Indigenous and non-Indigenous fish harvesters.","Minister of Fisheries, Oceans and the Canadian Coast Guard","Minister of Fisheries, Oceans and the Canadian Coast Guard; Minister of Crown-Indigenous Relations; Minister of Environment and Climate Change"
1015,"Invest in coastal and ocean areas that have a high potential to absorb and store carbon, like tidal wetlands, seagrass meadows and riparian habitats.","Minister of Fisheries, Oceans and the Canadian Coast Guard","Minister of Fisheries, Oceans and the Canadian Coast Guard; Minister of Environment and Climate Change"
1016,Modernize the Oceans Act to explicitly consider climate change impacts on marine ecosystems and species in regional ocean management.,"Minister of Fisheries, Oceans and the Canadian Coast Guard","Minister of Fisheries, Oceans and the Canadian Coast Guard"
1017,"Create a national, interdisciplinary working group focused on climate-resilient ocean conservation planning.","Minister of Fisheries, Oceans and the Canadian Coast Guard","Minister of Fisheries, Oceans and the Canadian Coast Guard"
1018,Expand climate vulnerability work to better inform marine conservation planning and management.,"Minister of Fisheries, Oceans and the Canadian Coast Guard","Minister of Fisheries, Oceans and the Canadian Coast Guard; Minister of Environment and Climate Change"
1019,Work with the province of British Columbia and Indigenous communities on a plan to transition from open net-pen salmon farming in coastal British Columbia waters by 2025.,"Minister of Fisheries, Oceans and the Canadian Coast Guard","Minister of Fisheries, Oceans and the Canadian Coast Guard; Minister of International Development and Minister responsible for the Pacific Economic Development Agency of Canada"
1020,Work to introduce Canada’s first Aquaculture Act.,"Minister of Fisheries, Oceans and the Canadian Coast Guard","Minister of Fisheries, Oceans and the Canadian Coast Guard"
1021,Renew the Canadian Coast Guard fleet.,"Minister of Fisheries, Oceans and the Canadian Coast Guard","Minister of Fisheries, Oceans and the Canadian Coast Guard; Minister of Public Services and Procurement; Minister of Innovation, Science and Industry; Minister of National Defence"
1023,Support improvement in Small Craft Harbours and ensure investments are resulting in climate-resilient infrastructure that serves the needs of the fishing industry and local residents.,"Minister of Fisheries, Oceans and the Canadian Coast Guard","Minister of Fisheries, Oceans and the Canadian Coast Guard"
1101,Strengthen Canada's partnerhips with the United States.,Minister of Foreign Affairs,"Minister of Foreign Affairs; Deputy Prime Minister and Minister of Finance; Minister of National Defence; Minister of Innovation, Science and Industry; Minister of Public Safety"
1104,"Develop and launch a comprehensive Indo-Pacific strategy to deepen diplomatic, economic and defence partnerships and international assistance in the region.",Minister of Foreign Affairs,"Minister of Foreign Affairs; Minister of International Trade, Export Promotion, Small Business and Economic Development; Minister of International Development and Minister responsible for the Pacific Economic Development Agency of Canada; Minister of National Defence; Minister of Environment and Climate Change; Minister of Agriculture and Agri-Food; Minister of Immigration, Refugees and Citizenship; Minister of Public Safety"
1105,"Work with partners to develop and expand collective responses to arbitrary detention, economic coercion, cyber threats, foreign interference in democratic processes and egregious violations of human rights, including through the use of sanctions, support for international institutions and coordinated action to reinforce the rules of international trade.",Minister of Foreign Affairs,"Minister of Foreign Affairs; Minister of Public Safety; Minister of National Defence; Minister of Innovation, Science and Industry; Minister of Justice and Attorney General of Canada; Minister of Canadian Heritage and Quebec Lieutenant"
1107,"Establish a Canadian centre to expand the availability of Canadian expertise and assistance to those seeking to build peace, advance justice, promote human rights, inclusion and democracy, and deliver good governance.",Minister of Foreign Affairs,"Minister of Foreign Affairs; Minister of International Development and Minister responsible for the Pacific Economic Development Agency of Canada; Minister of Intergovernmental Affairs, Infrastructure and Communities"
1108,Expand fast and flexible support for fragile and emerging democracies.,Minister of Foreign Affairs,Minister of Foreign Affairs; Minister of National Defence
1109,Increasing Canada’s diplomatic presence in regions of strategic importance.,Minister of Foreign Affairs,Minister of Foreign Affairs
1110,"Work closely with democratic partners to promote open, transparent and inclusive governance.",Minister of Foreign Affairs,Minister of Foreign Affairs; Minister of International Development and Minister responsible for the Pacific Economic Development Agency of Canada
1111,Defend the right to freedom of expression and oppose the mistreatment or arbitrary detention of journalists.,Minister of Foreign Affairs,Minister of Foreign Affairs
1112,Expand the coalition of states supporting Canada's initiative to condemn and eradicate arbitrary detention.,Minister of Foreign Affairs,Minister of Foreign Affairs
1113,Advance an action plan to coordinate collective international responses to specific incidents of arbitrary detention.,Minister of Foreign Affairs,Minister of Foreign Affairs
1114,Work with international partners to help establish an International Anti-Corruption Court.,Minister of Foreign Affairs,Minister of Foreign Affairs
1115,Support and implement the Justice for Victims of Corrupt Foreign Officials Act and promote the adoption of similar legislation and practices globally.,Minister of Foreign Affairs,Minister of Foreign Affairs
1117,Develop and implement Canada’s feminist foreign policy with the support of partner organizations.,Minister of Foreign Affairs,"Minister of Foreign Affairs; Minister of International Development and Minister responsible for the Pacific Economic Development Agency of Canada; Minister of International Trade, Export Promotion, Small Business and Economic Development"
1118,"Continue to be a global leader in championing the rights of women and girls in all their diversity, LGBTQ2 people and other marginalized communities.",Minister of Foreign Affairs,"Minister of Foreign Affairs; Minister of International Development and Minister responsible for the Pacific Economic Development Agency of Canada; Minister for Women and Gender Equality and Youth; Minister of Employment, Workforce Development and Disability Inclusion"
1119,"With support from the Ambassador for Women, Peace and Security, continue to advance Canada’s National Action Plan on Women, Peace and Security, including by launching Canada’s 3rd National Action Plan, and build on Canada’s leadership to further this agenda on the global stage, including our support for the Elsie Initiative for Women in Peace Operations and for the full and meaningful participation of women peacebuilders in peace and security matters.",Minister of Foreign Affairs,"Minister of Foreign Affairs; Minister of National Defence; Minister of Crown-Indigenous Relations; Minister of Indigenous Services and Minister responsible for the Federal Economic Development Agency for Northern Ontario; Minister of Immigration, Refugees and Citizenship; Minister of Justice and Attorney General of Canada; Minister of Public Safety; Minister for Women and Gender Equality and Youth"
1120,Strengthen Canada’s engagement and presence in the United Nations (UN) system.,Minister of Foreign Affairs,Minister of Foreign Affairs; Minister of International Development and Minister responsible for the Pacific Economic Development Agency of Canada
1121,Work with international partners to hold Iran accountable and to provide support to the families and loved ones of the victims as they fight for justice and reparations.,Minister of Foreign Affairs,Minister of Foreign Affairs
1123,"Defend Arctic sovereignty and implement the Arctic and Northern policy Framework, ensuring Indigenous and Northern communities are consulted on its development and benefit from this work.",Minister of Foreign Affairs,Minister of Foreign Affairs
1125,Continue Canadian leadership on international efforts to combat climate change.,Minister of Environment and Climate Change,Minister of Environment and Climate Change
1126,Position Canada as a global leader in the digital domain with the support of the digital policy task force.,Minister of Foreign Affairs,"Minister of Foreign Affairs; President of the Treasury Board; Minister of Innovation, Science and Industry; Minister of Public Safety; Minister of Justice and Attorney General of Canada; Minister of Canadian Heritage and Quebec Lieutenant"
1130,Launch a new cultural diplomacy strategy to leverage the work of Canadian artists and cultural industries.,Minister of Foreign Affairs,Minister of Foreign Affairs; Minister of Canadian Heritage and Quebec Lieutenant
1132,Support the Special Envoy on Preserving Holocaust Remembrance and Combatting Antisemitism in advancing their mandate.,Minister of Foreign Affairs,Minister of Foreign Affairs; Minister of Housing and Diversity and Inclusion
1133,Celebrate Canada’s unique francophone cultures through the promotion of the French language across Canada's diplomatic missions and in the work to transform the Organisation internationale de la Francophonie.,Minister of Foreign Affairs,Minister of Foreign Affairs; Minister of Canadian Heritage and Quebec Lieutenant
1202,Continue the roll-out of COVID-19 vaccines.,Minister of Health,Minister of Health; Minister of Public Services and Procurement; Minister of Indigenous Services and Minister responsible for the Federal Economic Development Agency for Northern Ontario
1203,"Ensure sufficient domestic supply of COVID-19 vaccines and therapeutics, evaluate Canada's border posture and ensure surge capacity supports are available to assist provinces and territories.",Minister of Health,Minister of Health; Minister of Public Safety; President of the Queen’s Privy Council for Canada and Minister of Emergency Preparedness; Minister of Indigenous Services and Minister responsible for the Federal Economic Development Agency for Northern Ontario; Minister of Transport; Minister of Foreign Affairs; Minister of Justice and Attorney General of Canada
1204,"Ensure implementation of and adherence to public health measures, and support the availability of rapid tests and self-tests.",Minister of Health,Minister of Health; Minister of Public Services and Procurement
1205,Launch a COVID-19 Proof of Vaccination Fund to support provinces and territories who implement a requirement for proof of vaccine credentials in their jurisdiction for non-essential businesses and public spaces.,Minister of Health,Minister of Health
1206,Ensure the Public Health Agency of Canada has the resources and support necessary to continue protecting the health and safety of Canadians.,Minister of Health,Minister of Health; Minister of Mental Health and Addictions and Associate Minister of Health; Minister of Public Safety; President of the Queen’s Privy Council for Canada and Minister of Emergency Preparedness
1208,Strengthen surveillance and capacity to detect and act on public health threats.,Minister of Health,"Minister of Health; Minister of Indigenous Services and Minister responsible for the Federal Economic Development Agency for Northern Ontario; Minister of Public Safety; President of the Queen’s Privy Council for Canada and Minister of Emergency Preparedness; Minister of Innovation, Science and Industry"
1211,"Invest in the study of the long-term health impacts of COVID-19, including the effects of long COVID on different groups, notably vulnerable populations and children.",Minister of Health,"Minister of Health; Minister of Innovation, Science and Industry"
1213,Invest in supporting initiatives that will help to speed access to care for critical services.,Minister of Health,Minister of Health
1214,"Support provinces and territories to hire new family doctors, nurses and nurse practitioners.",Minister of Health,"Minister of Health; Minister of Mental Health and Addictions and Associate Minister of Health; Minister of Employment, Workforce Development and Disability Inclusion"
1215,"Expand virtual care, helping to cover digital infrastructure and other system improvements so that Canadians can access virtual medical consultations or remote monitoring.",Minister of Health,Minister of Mental Health and Addictions and Associate Minister of Health; Minister of Indigenous Services and Minister responsible for the Federal Economic Development Agency for Northern Ontario
1216,Expand the number of family doctors and primary health teams in rural communities and work to give rural communities greater access to a full suite of health and social services professionals.,Minister of Health,Minister of Health
1217,Strengthen compliance with and modernize the interpretation of the Canada Health Act on matters of extra billing for publicly insured services.,Minister of Health,Minister of Health
1218,"Expedite work to create a world-class health data system that is timely, usable, open-by-default, connected and comprehensive.",Minister of Health,"Minister of Health; Minister of Mental Health and Addictions and Associate Minister of Health; Minister of Innovation, Science and Industry; Minister of Indigenous Services and Minister responsible for the Federal Economic Development Agency for Northern Ontario"
1220,Negotiate agreements with provinces and territories to support efforts to improve the quality and availability of long-term care homes and beds.,Minister of Health,"Minister of Health; Minister of Seniors; Minister of Employment, Workforce Development and Disability Inclusion"
1222,Reinforce compliance under the Canada Health Act.,Minister of Health,Minister of Health
1223,Establish a sexual and reproductive health information and rights portal.,Minister of Health,Minister of Health; Minister for Women and Gender Equality and Youth; Minister of Indigenous Services and Minister responsible for the Federal Economic Development Agency for Northern Ontario
1224,Support the establishment of mechanisms to help families cover the cost of in vitro fertilization.,Minister of Health,Minister of Health; Deputy Prime Minister and Minister of Finance
1225,Support youth-led and youth-focused organizations that respond to the unique sexual and reproductive health needs of young people.,Minister of Health,"Minister of Health; Minister for Women and Gender Equality and Youth; Minister of Indigenous Services and Minister responsible for the Federal Economic Development Agency for Northern Ontario; Minister of Innovation, Science and Industry"
1228,Ensure science and evidence are integrated into Canada's pandemic response.,Minister of Health,Minister of Health
1229,"Reinforce international efforts to ensure that people around the world have access to health interventions to fight COVID-19, including vaccines, therapeutics and strengthened health systems.",Minister of Health,Minister of Health; Minister of Foreign Affairs; Minister of International Development and Minister responsible for the Pacific Economic Development Agency of Canada
1230,"Take increased and expedited action to monitor, prevent and mitigate the threat of antimicrobial resistance.",Minister of Health,Minister of Health
1231,Engage with willing provinces and territories towards national universal pharmacare.,Minister of Health,Minister of Health
1232,Proceed with a national strategy on high-cost drugs for rare diseases.,Minister of Health,Minister of Health
1233,Advance the establishment of the Canada Drug Agency.,Minister of Health,Minister of Health
1235,Introduce mandatory labelling of chemicals in consumer products.,Minister of Health,Minister of Health; Minister of Environment and Climate Change
1236,Introduce legislation to end testing on animals.,Minister of Health,"Minister of Health; Minister of Innovation, Science and Industry"
1237,Increase testing of products for compliance with Canadian standards.,Minister of Health,"Minister of Health; Minister of Public Safety; Minister of Innovation, Science and Industry"
1238,"Implement an action plan to protect Canadians, including firefighters, from exposure to toxic flame retardants found in household products.",Minister of Health,Minister of Health; Minister of Environment and Climate Change
1240,Modernize and strengthen the Pest Control Products Act.,Minister of Health,Minister of Health; Minister of Agriculture and Agri-Food; Minister of Environment and Climate Change
1241,Promote healthy eating by advancing the Healthy Eating Strategy.,Minister of Health,Minister of Health
1242,Invest in Aboriginal Head Start in Urban and Northern Communities Program.,Minister of Health,"Minister of Health; Minister of Families, Children and Social Development; Minister of Indigenous Services and Minister responsible for the Federal Economic Development Agency for Northern Ontario"
1243,Promote seniors’ physical and mental health to enable them to live longer at home.,Minister of Health,"Minister of Health; Minister of Mental Health and Addictions and Associate Minister of Health; Minister of Seniors; Minister of Employment, Workforce Development and Disability Inclusion"
1244,Accelerate the development of the National Autism Strategy.,Minister of Health,"Minister of Health; Minister of Employment, Workforce Development and Disability Inclusion"
1306,"Ensure the Fairness in Real Estate Action Plan includes: the development of policies to curb excessive profits in investment properties while protecting small independent landlords; a review of down payment requirements for investment properties; increased consumer protection and transparency in real estate transactions; and, the prevention of ""renovictions.""",Minister of Housing and Diversity and Inclusion,"Minister of Housing and Diversity and Inclusion; Minister of Intergovernmental Affairs, Infrastructure and Communities; Minister of National Revenue"
1308,"Consider measures to increase consumer protection and transparency in real estate transactions, including a ban on blind bidding.",Minister of Housing and Diversity and Inclusion,Deputy Prime Minister and Minister of Finance; Minister of Housing and Diversity and Inclusion
1311,Invest in a new Housing Accelerator Fund to support municipalities in increasing the housing supply in Canada’s largest cities.,Minister of Housing and Diversity and Inclusion,"Minister of Housing and Diversity and Inclusion; Minister of Intergovernmental Affairs, Infrastructure and Communities"
1312,"Expand Canada’s housing supply, advance investments in affordable housing, and extend the model of co-operative housing to new communities.",Minister of Housing and Diversity and Inclusion,"Minister of Housing and Diversity and Inclusion; Deputy Prime Minister and Minister of Finance; Minister of Intergovernmental Affairs, Infrastructure and Communities"
1313,"Create a fund to test, develop and scale up rent-to-own projects across the country.",Minister of Housing and Diversity and Inclusion,"Minister of Housing and Diversity and Inclusion; Minister of Intergovernmental Affairs, Infrastructure and Communities"
1314,Develop a National Action Plan on Combatting Hate.,Minister of Housing and Diversity and Inclusion,Minister of Housing and Diversity and Inclusion; Minister of Canadian Heritage and Quebec Lieutenant; Minister of Public Safety; Minister of Justice and Attorney General of Canada; President of the Treasury Board
1315,Strengthen and support the work of the Federal Anti-Racism Secretariat to ensure a whole-of-government approach in addressing systemic racism.,Minister of Housing and Diversity and Inclusion,Minister of Housing and Diversity and Inclusion; President of the Treasury Board; Minister of Canadian Heritage and Quebec Lieutenant; President of the Queen’s Privy Council for Canada and Minister of Emergency Preparedness
1316,Implement the Black-led Philanthropic Endowment Fund.,Minister of Housing and Diversity and Inclusion,"Minister of Housing and Diversity and Inclusion; Minister of Families, Children and Social Development;Minister of Canadian Heritage and Quebec Lieutenant"
1317,Support the conversion of empty office and retail space in the federal portfolio and in commercial buildings into market-based housing.,Minister of Housing and Diversity and Inclusion,"Minister of Housing and Diversity and Inclusion; Minister of Intergovernmental Affairs, Infrastructure and Communities; President of the Treasury Board, Minister of Public Services and Procurement"
1318,Work with municipalities to support a fast-track permitting system for conversions of empty office and retail space.,Minister of Housing and Diversity and Inclusion,"Minister of Housing and Diversity and Inclusion; Minister of Intergovernmental Affairs, Infrastructure and Communities"
1319,"Reform the Rental Construction Financing Initiative to ensure the program is maximizing affordability, energy efficiency and accessibility outcomes, while processing applications in a more timely and transparent manner.",Minister of Housing and Diversity and Inclusion,"Minister of Housing and Diversity and Inclusion; Minister of Intergovernmental Affairs, Infrastructure and Communities; Minister of Innovation, Science and Industry"
1320,Introduce enhancements to the Federal Lands Initiative to ensure the federal government is more effectively deploying its inventory of lands to advance the objectives of the National Housing Strategy.,Minister of Housing and Diversity and Inclusion,"Minister of Housing and Diversity and Inclusion; Minister of Intergovernmental Affairs, Infrastructure and Communities; Minister of Public Services and Procurement, President of the Treasury Board, Deputy Prime Minister and Minister of Finance"
1321,Help affordable housing providers acquire land and buildings to build and preserve more units.,Minister of Housing and Diversity and Inclusion,"Minister of Housing and Diversity and Inclusion; Minister of Intergovernmental Affairs, Infrastructure and Communities"
1322,Extend the model of co-operative housing to new communities.,Minister of Housing and Diversity and Inclusion,"Minister of Housing and Diversity and Inclusion; Minister of Intergovernmental Affairs, Infrastructure and Communities"
1323,"Accelerate critical repairs and develop projects for vulnerable groups including women, youth and people with disabilities.",Minister of Housing and Diversity and Inclusion,"Minister of Housing and Diversity and Inclusion; Minister of Intergovernmental Affairs, Infrastructure and Communities; Minister for Women and Gender Equality and Youth"
1324,Appoint a new Federal Housing Advocate to monitor progress in meeting the goals of the National Housing Strategy.,Minister of Housing and Diversity and Inclusion,Minister of Housing and Diversity and Inclusion
