ID,Commitment,Reporting Lead,Reporting Lead Name,All ministers
LPC-096,"Legislate a pre-authorization system that ensures that the classification of new firearm models entering the market is determined by the RCMP and not the gun industry.","Minister of Public Safety","Gary Anandasangaree","Minister of Justice and Attorney General of Canada"
LPC-097,"Automatically revoke gun licences for individuals convicted of violent offences, particularly those convicted of intimate partner violence offences, and those subject to protection orders.","Minister of Public Safety","Gary Anandasangaree","Minister of Justice and Attorney General of Canada"
LPC-098,"Increase capacity to track down guns used in crimes so we can catch those responsible by investing in the capacity of the RCMP's National Forensic Laboratories in Ottawa and Surrey, as well as the Saskatchewan Ballistics Laboratory.","Minister of Public Safety","Gary Anandasangaree","Minister of Finance"
LPC-099,"Toughen oversight of firearms licensing and strengthen the enforcement of yellow and red flag requirements by bolstering the capacity of Provincial Chief Firearms Officers to fulfill their obligations.","Minister of Public Safety","Gary Anandasangaree","President of the King’s Privy Council for Canada and Minister responsible for Canada-U.S. Trade, Intergovernmental Affairs and One Canadian Economy"
LPC-100,"End drug and human trafficking in our communities and boost resources to fight modern threats, such as foreign interference, transnational repression, and cybercrime. Also recruit and train 1000 more RCMP personnel, establish a new RCMP academy within Depot, and increase pay for cadet recruits.","Minister of Public Safety","Gary Anandasangaree","Minister of Finance; President of the Treasury Board"
LPC-101,"Crack down on drugs, including fentanyl and its precursors, illegal guns, and stop gangs from smuggling stolen cars out of the country. Train 1000 new Canada Border Services Agency (CBSA) officers. In addition, to secure our borders, stand up additional border scanners, drones, and new K-9 teams, to target more suspicious shipments at our land borders, ports, and railyards.","Minister of Public Safety","Gary Anandasangaree","Minister of Finance"
LPC-102,"Put those profiting from fentanyl behind bars by prosecuting more complex drug trafficking and organized crime offences. Invest in the Public Prosecution Services of Canada so that they can do so.","Minister of Justice and Attorney General of Canada","Sean Fraser","Minister of Public Safety; Minister of Finance"
LPC-103,"Amend the Canada Post Corporation Act to allow police to search for and seize fentanyl and other contraband in Canada Post mail with a general warrant.","Minister of Justice and Attorney General of Canada","Sean Fraser","Minister of Public Safety"
LPC-104,"Support the health, including mental health, of our first responders by doubling our collaboration with the Canadian Institute of Health Research, and the Canadian Institute of Public Safety Research and Treatment.","Minister of Health","Marjorie Michel","Minister of Public Safety; Minister of Finance"
LPC-105,"Amend the Public Service Superannuation Act to expand early retirement eligibility, also known as ""25 and out"" for frontline employees including firefighters, paramedics, correctional service employees, border services officers, Parliamentary protection officers, and search and rescue.","President of the Treasury Board","Shafqat Ali","Minister of Public Safety"
LPC-106,"Make it harder to get bail for those charged with violent car theft, car theft for a criminal organization, home invasion, and certain human trafficking and smuggling offences by establishing a reverse onus for these crimes.","Minister of Justice and Attorney General of Canada","Sean Fraser","Minister of Public Safety"
LPC-107,"Require the court to prohibit possession of firearms or weapons when releasing someone charged with a violent offence or any offence involving a criminal organization.","Minister of Justice and Attorney General of Canada","Sean Fraser","Minister of Public Safety"
LPC-108,"Toughen sentencing guidelines so they are stricter for repeat offenders of car theft, as well as violent and organized crimes by: Directing courts to primarily consider denunciation and deterrence when sentencing repeat car thieves or home invasion offenders.","Minister of Justice and Attorney General of Canada","Sean Fraser","Secretary of State (Combatting Crime)"
LPC-109,"Toughen sentencing guidelines by: Allowing for consecutive sentencing for car theft with violence or car theft involving a criminal organization on top of home invasion offences if applicable, or any other offences the person is subject to.","Minister of Justice and Attorney General of Canada","Sean Fraser","Secretary of State (Combatting Crime)"
LPC-110,"Toughen sentencing guidelines by: Allowing for consecutive sentencing for serious and violent offences.","Minister of Justice and Attorney General of Canada","Sean Fraser","Secretary of State (Combatting Crime)"
LPC-111,"Protect victims of sexual violence and intimate partner violence by: Making murder motivated by hate a constructive first-degree offence, including femicide.","Minister of Justice and Attorney General of Canada","Sean Fraser","Minister of Women and Gender Equality"
LPC-112,"Protect victims of sexual violence and intimate partner violence by: Making it a criminal offence to distribute non-consensual sexual deepfakes.","Minister of Justice and Attorney General of Canada","Sean Fraser","Minister of Women and Gender Equality"
LPC-113,"Protect victims of sexual violence and intimate partner violence by: Increasing penalties for the distribution of intimate images without consent and sexual assault on summary conviction.","Minister of Justice and Attorney General of Canada","Sean Fraser","Minister of Women and Gender Equality"
LPC-114,"Introduce legislation to protect children from horrific crimes including online sexploitation and extortion and give law enforcement and prosecutors the tools to stop these crimes and bring perpetrators to justice.","Minister of Justice and Attorney General of Canada","Sean Fraser","Secretary of State (Children and Youth); Minister of Public Safety"
LPC-115,"Provide new funding to the Canadian Center for Child Protection in Winnipeg, Manitoba.","Minister of Public Safety","Gary Anandasangaree","Secretary of State (Children and Youth); Minister of Finance"
LPC-116,"Tighten laws to crack down on child-luring including by raising the maximum sentence.","Minister of Justice and Attorney General of Canada","Sean Fraser","Secretary of State (Children and Youth)"
LPC-117,"Amend the Mandatory Reporting Act to extend the period of preservation of data related to a child sexual offence and extend the limitation period for the prosecution of an offence under that Act.","Minister of Justice and Attorney General of Canada","Sean Fraser","Secretary of State (Children and Youth)"
LPC-118,"Prevent crime before it starts by extending the Building Safer Communities Fund, and prioritizing approaches to steer youth away from criminal activity. This fund will also support Indigenous-led community safety priorities.","Minister of Public Safety","Gary Anandasangaree","Secretary of State (Children and Youth); Minister of Indigenous Services; Minister of Finance"
LPC-119,"Introduce legislation to make it a criminal offence to intentionally and willfully obstruct access to any place of worship, schools, and community centres.","Minister of Justice and Attorney General of Canada","Sean Fraser","Minister of Public Safety"
LPC-120,"Make it a criminal offence to intentionally and willfully intimidate or threaten those attending services at these locations (places of worship, schools, and community centres).","Minister of Justice and Attorney General of Canada","Sean Fraser","Minister of Public Safety"
LPC-121,"Protect the safety of 2SLGBTQI+ people by maintaining support for Fierté Canada Pride in administering funding for security needs at Pride festivals across the country.","Minister of Women and Gender Equality","Rechie Valdez","Minister of Public Safety; Minister of Finance"
LPC-122,"Address the rise of hate by implementing Canada's Action Plan on Combatting Hate.","Minister of Canadian Identity and Culture","Steven Guilbeault","Minister of Public Safety"
LPC-123,"Significantly increase the annual budget of the Canada Community Security Program in order to help protect vulnerable communities and places of worship.","Minister of Public Safety","Gary Anandasangaree","Minister of Finance"
LPC-124,"Restore Canada's diplomatic presence abroad through a new, full foreign policy. The intention is to deploy more Canadian diplomats and officials abroad, to expand our trade, and to restore Canadian leadership. Also issue a complementary national security review.","Minister of Foreign Affairs","Anita Anand","Minister of International Trade; Minister of National Defence; President of the Treasury Board"
LPC-125,"Build alliances to protect our sovereignty including work to build a security and economic partnership with our Nordic partners to promote Arctic security, Canadian sovereignty, and reconciliation with Indigenous Peoples. This will build on our close relationships, and leverage our close relationships with the Commonwealth and La Francophonie to present a united front against threats to sovereignty around the globe.","Minister of Foreign Affairs","Anita Anand","Minister of Northern and Arctic Affairs; Minister of National Defence; Minister of Crown-Indigenous Relations"
LPC-126,"Defend our values of peace and stability by continuing to support Ukraine and Ukrainians including: working to bring home Ukrainian children stolen by Russia; building on Canadian leadership to seize Russian sovereign assets and using them to fund Ukraine's reconstruction; and, if needed, build on our peacekeeping heritage and step up to guarantee Ukraine's security.","Minister of Foreign Affairs","Anita Anand","Minister of National Defence; Minister of Finance; Minister of Justice and Attorney General of Canada"
LPC-127,"Expand FinDev's lending capacity to support the private sector in low-income and emerging economies by investing in infrastructure that reduces emissions, addresses global famine and food insecurity, and closes economic development gaps.","Secretary of State (International Development)","Randeep Sarai","Minister of Finance; Minister of Environment and Climate Change"
LPC-128,"Protect Canada's proud tradition of supporting the poorest and most vulnerable in times of crisis by maintaining our international humanitarian assistance budget at no less than $800 million per year.","Secretary of State (International Development)","Randeep Sarai","Minister of Finance"
LPC-129,"Assert Canada's leadership in supporting women and girls by protecting funding for sexual and reproductive health care and rights, education, and combatting child marriage.","Minister of Women and Gender Equality","Rechie Valdez","Secretary of State (International Development); Minister of Health"
LPC-130,"Add additional funding for the LGBTQI+ International Assistance Program to provide support for LGBTQI+ individuals facing persecution abroad, promote global equality, and partner with international organizations. Also expand the Rainbow Refugee Assistance Partnership.","Secretary of State (International Development)","Randeep Sarai","Minister of Women and Gender Equality; Minister of Immigration, Refugees and Citizenship; Minister of Finance"
LPC-131,"Continue our international climate finance program to focus on bringing in more private capital into helping developing economies reach their climate goals, while supporting the poorest and most vulnerable to adapt to the effects of climate change.","Minister of Environment and Climate Change","Julie Dabrusin","Secretary of State (International Development); Minister of Finance"
LPC-132,"Leverage Canadian expertise to solve global problems - including leveraging our tech ecosystem - with increased funding to accelerate progress on the UN Sustainable Development Goals (SDGs).","Secretary of State (International Development)","Randeep Sarai","Minister of Artificial Intelligence and Digital Innovation; Minister of Finance"
LPC-133,"Use Canada's G7 Presidency to catalyze action in defence of our values, including working to protect the rules-based international order from those who want to destroy it.","Minister of Foreign Affairs","Anita Anand",""
LPC-134,"Add thousands of new doctors to Canada's health care system by working with the provinces, territories and Indigenous Peoples to: Increase medical school and residency spaces, and build new medical schools and expand residency positions, especially for family medicine.","Minister of Health","Marjorie Michel","President of the King’s Privy Council for Canada and Minister responsible for Canada-U.S. Trade, Intergovernmental Affairs and One Canadian Economy; Minister of Indigenous Services; Minister of Finance"
LPC-135,"Add thousands of new doctors by: Making it easier for internationally trained doctors and health professionals to practice in Canada. Work with provincial and territorial partners to streamline credential recognition for internationally trained doctors and nurses so that qualified health care professionals already living here can contribute to our health care system.","Minister of Health","Marjorie Michel","Minister of Immigration, Refugees and Citizenship; Minister of Jobs and Families; President of the King’s Privy Council for Canada and Minister responsible for Canada-U.S. Trade, Intergovernmental Affairs and One Canadian Economy"
LPC-136,"Add thousands of new doctors by: Addressing labour mobility issues and implement pan-Canadian licensure so that health workers can be employed anywhere in Canada.","Minister of Health","Marjorie Michel","Minister of Jobs and Families; President of the King’s Privy Council for Canada and Minister responsible for Canada-U.S. Trade, Intergovernmental Affairs and One Canadian Economy"
LPC-137,"Add thousands of new doctors by: Recruiting qualified doctors through a new global recruitment strategy that will fast-track the arrival of doctors into Canada, including Canadians practicing abroad and other U.S.-trained physicians and health researchers. To make sure Canada fully capitalizes on this opportunity, increase funding for research grants and infrastructure at our hospitals and other health care institutions.","Minister of Health","Marjorie Michel","Minister of Immigration, Refugees and Citizenship; Minister of Finance"
LPC-138,"Make it easier to set up clinics in new communities through a new-practice fund to help family doctors with the costs of opening a practice, such as new clinic space and medical equipment and technologies.","Minister of Health","Marjorie Michel","Minister of Finance"
LPC-139,"Build hospitals, clinics, and more by investing $4 billion to construct and renovate community health care infrastructure. This will also support investments in public long-term care; improve access to team-based care, including mental health care services; and provide funding for expensive machinery like MRIs.","Minister of Health","Marjorie Michel","Minister of Housing and Infrastructure; Minister of Finance"
LPC-140,"Provide Personal Support Workers (PSWs) with up to $1,100 a year by immediately legislating a refundable Health Care Workers Hero Tax Credit.","Minister of Finance","François-Philippe Champagne","Minister of Health"
LPC-141,"Support training for nurses, PSWs, and teachers by expanding the Union Training and Innovation Program (UTIP) to include training spaces.","Minister of Jobs and Families","Patty Hajdu","Minister of Health; Minister of Finance"
LPC-142,"Protect and permanently fund Sexual and Reproductive Health Fund.","Minister of Health","Marjorie Michel","Minister of Women and Gender Equality; Minister of Finance"
LPC-143,"Protect Dental Care to ensure Canadians without coverage can receive affordable dental care.","Minister of Health","Marjorie Michel","Minister of Finance"
LPC-144,"Protect Pharmacare: The first phase of pharmacare provides universal, publicly funded access to diabetes medications for the 3.7 million Canadians living with diabetes and free contraceptives so women have the ability to choose the options that are best for them and their families, regardless of cost.","Minister of Health","Marjorie Michel","Minister of Finance; Minister of Women and Gender Equality"
LPC-145,"Provide 100,000 young people a year with mental health care by establishing a permanent Youth Mental Health Fund.","Minister of Health","Marjorie Michel","Secretary of State (Children and Youth); Minister of Finance"
LPC-146,"Provide urgent and immediate support to address the overdose crisis by adding $500 million to the Emergency Treatment Fund to support municipalities, Indigenous Peoples, and community health care organizations to confront the toxic drug and overdose crisis and connect more people to treatment and vital services, faster.","Minister of Health","Marjorie Michel","Minister of Indigenous Services; Minister of Finance; Minister of Emergency Management and Community Resilience"
LPC-147,"Invest in deeply affordable housing, supportive housing, and shelters in recognition of the link between housing and mental health outcomes. Do this through $6 billion invested in the new Build Canada Homes (BCH) which will build and acquire housing.","Minister of Housing and Infrastructure","Gregor Robertson","Minister of Health; Minister of Finance"
LPC-148,"Continue to fund the 9-8-8 suicide crisis helpline.","Minister of Health","Marjorie Michel","Minister of Finance"
LPC-149,"Significantly reduce wait times for life-saving medications. By cutting red tape without compromising on safety cut this timeline while maintaining all relevant safety standards, supporting our research community, and delivering lifesaving medicines more quickly.","Minister of Health","Marjorie Michel","President of the Treasury Board"
LPC-150,"Ensure Canadians can securely access their health care data because your medical history should be available instantly to you and your doctor anytime and anywhere in Canada. Table legislation to enable secure access to health data.","Minister of Health","Marjorie Michel","Minister of Artificial Intelligence and Digital Innovation; Minister of Justice and Attorney General of Canada"
LPC-151,"Reduce the administrative burden on doctors with streamlined and standardized forms and scaling up digital tools that significantly reduce paperwork and leave more time for patient visits. Also launch a new program to support doctors in safely and securely adopting new digital tools such as e-prescribing and e-referrals. Also support tools that are bilingual for doctors and nurses.","Minister of Health","Marjorie Michel","Minister of Artificial Intelligence and Digital Innovation; President of the Treasury Board"
LPC-152,"Launch a Task Force for Public Health Care Innovation to invest and scale up made-in-Canada public health care solutions, leverage, and improve the quality of data, and evaluate and ensure accountability in public investments in health care, including the $25 billion Working Together Agreements signed with provinces and territories.","Minister of Health","Marjorie Michel","Minister of Artificial Intelligence and Digital Innovation; President of the King’s Privy Council for Canada and Minister responsible for Canada-U.S. Trade, Intergovernmental Affairs and One Canadian Economy"
LPC-153,"Implement a national licence for physicians and nurses, giving health workers more mobility across the country and making it easier to respond to workforce needs across jurisdictions.","Minister of Health","Marjorie Michel","Minister of Jobs and Families; President of the King’s Privy Council for Canada and Minister responsible for Canada-U.S. Trade, Intergovernmental Affairs and One Canadian Economy"
LPC-154,"Protect and strengthen $10-a-day Early Learning and Child Care (ELCC) system to create 100,000 new spaces by 2031. This will increase the supply of not-for-profit and public early learning and child care, getting more families off wait lists, and saving families money. It will also create 35,000 jobs for early learning and child care workers.","Minister of Jobs and Families","Patty Hajdu","Secretary of State (Children and Youth); Minister of Finance"
LPC-155,"Ensure ELCC providers have good wages, which is critical to keeping child care centres staffed. Work with provinces and territories so that workers have predictable wage increases and investments in pensions and benefits programs.","Minister of Jobs and Families","Patty Hajdu","Secretary of State (Children and Youth); President of the King’s Privy Council for Canada and Minister responsible for Canada-U.S. Trade, Intergovernmental Affairs and One Canadian Economy; Minister of Finance"
LPC-156,"Require provinces, territories, and municipalities to expand child care in public infrastructure wherever possible, including in schools and community centres, and in community infrastructure that receives federal financing, so families can get child care close to home.","Minister of Jobs and Families","Patty Hajdu","Secretary of State (Children and Youth); Minister of Housing and Infrastructure; President of the King’s Privy Council for Canada and Minister responsible for Canada-U.S. Trade, Intergovernmental Affairs and One Canadian Economy"
LPC-157,"Link child care with housing development on sites that receive federal financing or affordable housing funds.","Minister of Housing and Infrastructure","Gregor Robertson","Minister of Jobs and Families; Secretary of State (Children and Youth)"
LPC-158,"Make the National School Food Program permanent. Prioritize Canadian-made food as much as possible.","Minister of Jobs and Families","Patty Hajdu","Secretary of State (Children and Youth); Minister of Agriculture and Agri-Food; Minister of Finance"
LPC-159,"Continue to advance the National Caregiving Strategy. Move forward with a comprehensive plan to better support those caring for loved ones. The Strategy will focus on early recognition of caregivers, simplified and increased access to government benefits and services, and better coordinating on emotional, financial, and practical support with the provinces and territories.","Minister of Jobs and Families","Patty Hajdu","Minister of Health; Secretary of State (Seniors); Minister of Finance"
LPC-160,"Protect and deliver the Canada Child Benefit, which helps low- and middle-income families afford the costs of raising a child.","Minister of Jobs and Families","Patty Hajdu","Minister of Finance; Secretary of State (Children and Youth)"
LPC-161,"Protect more nature by advancing the creation of at least 10 new National Parks and Marine Protected Areas; supporting the creation of 15 new urban parks and green spaces in municipalities; halting and reversing nature and biodiversity loss through reinforced efforts to conserve 30% of lands and waters by 2030; and implementing the Global Biodiversity Framework.","Minister of Environment and Climate Change","Julie Dabrusin","Secretary of State (Nature); Minister of Fisheries; Minister of Finance"
LPC-162,"Protect more of our freshwater as it becomes increasingly attractive to foreign actors by developing a National Water Security Strategy and prohibiting their inclusion in trade deals. Also create a strategic water security technology fund to advance development of related Canadian R&D, AI, monitoring, and data tools. Also modernize the Canada Water Act to address evolving challenges. And through the Canada Water Agency, strengthen national water stewardship and launch a municipal stream under the Freshwater Action Plan for regions facing freshwater challenges and equipping them to safeguard local water resources. Also invest in the deployment of new technologies and enforcement efforts in the fight against aquatic invasive species.","Minister of Environment and Climate Change","Julie Dabrusin","Minister of Foreign Affairs; Minister of International Trade; Minister of Artificial Intelligence and Digital Innovation; Minister of Finance"
LPC-163,"Launch the Canadian Nature Protection Fund to restore old-growth forests, safeguard carbon-rich peatlands, and revive our coastal waters. Every dollar Canadians, businesses, and philanthropists contribute will be matched by the federal government, up to $250 million.","Minister of Environment and Climate Change","Julie Dabrusin","Secretary of State (Nature); Minister of Finance"
LPC-164,"Conserve nature in partnership with Indigenous Peoples by expanding the Indigenous Guardians Program to include 50 new Arctic Indigenous Guardians.","Minister of Environment and Climate Change","Julie Dabrusin","Minister of Crown-Indigenous Relations; Minister of Indigenous Services; Minister of Northern and Arctic Affairs; Secretary of State (Nature)"
LPC-165,"Champion nature conservation internationally by stopping illegal wildlife trade across our borders with modern digital solutions; ratifying the High Seas Treaty as soon as possible; and supporting growth of our marine resource sectors, while advocating for strong evidence-based international protections.","Minister of Environment and Climate Change","Julie Dabrusin","Minister of Foreign Affairs; Minister of Public Safety; Minister of Fisheries"
LPC-166,"Improving Parks Canada's disaster response capabilities... Invest to ensure our national parks have a well-resourced response force including expanding and equipping Parks Canada's wildfire response teams with additional training and modern firefighting equipment to meet emerging wildfire threats. Increase investment in FireSmart programs... ensure comprehensive evacuation planning... update building codes and infrastructure standards...","Minister of Environment and Climate Change","Julie Dabrusin","Minister of Emergency Management and Community Resilience; Secretary of State (Nature); Minister of Finance"
LPC-167,"Prioritize natural infrastructure, like forested areas and wetlands. The government will use a mix of conservation funding, climate change adaptation funding, and leverage public-private infrastructure investments to invest in nature that protects communities.","Minister of Environment and Climate Change","Julie Dabrusin","Minister of Housing and Infrastructure; Minister of Emergency Management and Community Resilience; Secretary of State (Nature); Minister of Finance"
LPC-168,"Map Canada's ecologically sensitive areas. Map Canada's carbon and biodiversity-rich ecological landscapes – including ocean coastlines, peatlands, and permafrost areas – to enable a more holistic ecosystem approach to conservation, carbon accounting, and project development.","Minister of Environment and Climate Change","Julie Dabrusin","Secretary of State (Nature)"
LPC-169,"Proactively rehabilitate and mitigate environmental and species at risk impacts in areas where we expect there to be significant infrastructure development over the next five years.","Minister of Environment and Climate Change","Julie Dabrusin","Minister of Housing and Infrastructure; Minister of Transport and Internal Trade; Minister of Energy and Natural Resources"
LPC-170,"Connect Canadians with nature by making access to national parks and historic sites free for this summer.","Minister of Environment and Climate Change","Julie Dabrusin","Secretary of State (Nature); Minister of Finance"
LPC-171,"Establish a 12% target for Francophone immigration outside of Quebec by 2029, a 20% increase from current targets.","Minister of Immigration, Refugees and Citizenship","Lena Metlege Diab","Minister of Canadian Identity and Culture"
LPC-172,"Support entrepreneurs in Official Language Minority Communities looking to scale their businesses, notably by facilitating access to Francophone and bilingual workers.","Minister of Canadian Identity and Culture","Steven Guilbeault","Minister of Industry; Secretary of State (Small Business and Tourism)"
LPC-173,"Continue to invest in community spaces for English-speaking minorities in Quebec and French speaking minorities across the country.","Minister of Canadian Identity and Culture","Steven Guilbeault","Minister of Finance"
LPC-174,"Promote French-language educational pursuits across Canada by collaborating with provinces and territories to invest in educational and community spaces, such as early learning and child care that serve official language minority communities; creating a scholarship for Francophone students who continue their post-secondary studies in French in a minority context.","Minister of Canadian Identity and Culture","Steven Guilbeault","Minister of Jobs and Families; President of the King’s Privy Council for Canada and Minister responsible for Canada-U.S. Trade, Intergovernmental Affairs and One Canadian Economy; Minister of Finance"
LPC-175,"Protect and modernize CBC/Radio-Canada to ensure that it continues to provide vital programming in both French and English.","Minister of Canadian Identity and Culture","Steven Guilbeault",""
LPC-176,"Protect Canadians' retirement savings from volatile market conditions by reducing the minimum amount that must be withdrawn from a Registered Retirement Income Fund (RRIF) by 25% for one year.","Minister of Finance","François-Philippe Champagne","Secretary of State (Seniors)"
LPC-177,"Give a temporary income boost to low-income seniors by increasing the Guaranteed Income Supplement (GIS) by 5%, providing up to an additional $652 in income per year, tax-free.","Minister of Jobs and Families","Patty Hajdu","Secretary of State (Seniors); Minister of Finance"
LPC-178,"Get young Canadians started with their first job by connecting young people with the jobs and skill development opportunities they need to launch their professional lives by: Providing funding and expand the mandates, where appropriate, for the Student Work Placement Program, the Youth Employment and Skills Strategy (YESS), Canada Summer Jobs, and the Canadian Service Corps.","Minister of Jobs and Families","Patty Hajdu","Secretary of State (Children and Youth); Minister of Finance"
LPC-179,"Establish a Youth Climate Corps pilot which will provide paid skills training for young Canadians to quickly respond to climate emergencies, support recovery, and strengthen resilience in communities across the country.","Minister of Environment and Climate Change","Julie Dabrusin","Secretary of State (Children and Youth); Minister of Jobs and Families; Minister of Emergency Management and Community Resilience; Minister of Finance"
LPC-180,"Continue to uphold the removal of interest on Canada Student Loans and Canada Apprentice Loans.","Minister of Jobs and Families","Patty Hajdu","Minister of Finance"
LPC-181,"Make generational housing investments to double the pace of construction and drive down the cost of homes, rent, and mortgage payments.","Minister of Housing and Infrastructure","Gregor Robertson","Minister of Finance; Secretary of State (Children and Youth)"
LPC-182,"Offer the Canada Strong Pass so young Canadians can discover Canada this summer.","Minister of Canadian Identity and Culture","Steven Guilbeault","Secretary of State (Children and Youth)"
LPC-183,"Provide 100,000 young people a year with mental health care by establishing a permanent Youth Mental Health Fund.","Minister of Health","Marjorie Michel","Secretary of State (Children and Youth); Minister of Finance"
LPC-184,"Provide a new Apprenticeship Grant of up to $8,000 for registered apprentices.","Minister of Jobs and Families","Patty Hajdu","Minister of Finance; Secretary of State (Labour)"
LPC-185,"Stand up for the Canadian Charter of Rights and Freedoms, protecting the values it was founded on, which are under threat, and ensuring the protection of our most vulnerable people.","Minister of Justice and Attorney General of Canada","Sean Fraser",""
LPC-186,"Enable Canadians to take more action to affirm their rights by expanding the Court Challenges Program.","Minister of Justice and Attorney General of Canada","Sean Fraser","Minister of Finance"
LPC-187,"Build a Canada where everyone has a fair shot, feels a sense of belonging, and contributes to our shared future by reshaping systems to better reflect and support all Canadians and make sure that no matter your heritage or identity you can fully participate in Canada.","President of the King’s Privy Council for Canada and Minister responsible for Canada-U.S. Trade, Intergovernmental Affairs and One Canadian Economy","Dominic LeBlanc","Minister of Canadian Identity and Culture; Minister of Justice and Attorney General of Canada"
LPC-188,"Confront systemic barriers and create opportunities for Indigenous Peoples, Black Canadians, and racialized communities, ensuring equal treatment and access in all aspects of Canadian society.","Minister of Justice and Attorney General of Canada","Sean Fraser","Minister of Crown-Indigenous Relations; Minister of Indigenous Services; Minister of Canadian Identity and Culture"
LPC-189,"Make funding permanent for the 2SLGBTQI+ Community Capacity Fund to support community organizations and networks that protect rights and advance equality across Canada.","Minister of Women and Gender Equality","Rechie Valdez","Minister of Finance"
LPC-190,"Review and reform the process to apply for the Disability Tax Credit (DTC) now that the DTC has become the gateway to key federal programs like the Canada Disability Benefit, the CCB for children with disabilities, the dental benefit, and various other programs. Also consider expanding the eligibility criteria to include additional impairments.","Minister of Finance","François-Philippe Champagne","Minister of Jobs and Families; Minister of Health; Secretary of State (Canada Revenue Agency and Financial Institutions)"
LPC-191,"Guarantee equal access to justice for people with disabilities by developing a Disability Justice Framework to address long-standing inequities, biases, and systemic discrimination against persons with disabilities within the justice system and before the law.","Minister of Justice and Attorney General of Canada","Sean Fraser","Minister of Jobs and Families"
LPC-192,"Make the Sexual and Reproductive Health Fund Program permanent, so that there will always be funding for abortion care in Canada, with access to reproductive care protected for underserved communities.","Minister of Health","Marjorie Michel","Minister of Women and Gender Equality; Minister of Finance"
LPC-193,"Establish a new in vitro fertilization (IVF) program that provides up to $20,000 for a single standard cycle of IVF treatment, making it more affordable for Canadians who want to become parents, especially 2SLGBTQI+ Canadians who face a costly journey to parenthood. Work with the provinces and territories to make sure more Canadians can access this support.","Minister of Health","Marjorie Michel","Minister of Women and Gender Equality; Minister of Finance; President of the King’s Privy Council for Canada and Minister responsible for Canada-U.S. Trade, Intergovernmental Affairs and One Canadian Economy"
LPC-194,"Address the under-researched area of postpartum maternal health by investing in research into postpartum maternal health to fund studies and track outcomes, disparities, and service gaps, and inform future investments so that women get better care after giving birth.","Minister of Health","Marjorie Michel","Minister of Women and Gender Equality; Minister of Finance"
LPC-195,"Invest in increased collection of data to help address women's health gaps in Canada, particularly in understudied areas of menopause, endometriosis, maternal mortality and morbidity, stillbirth, and perinatal health.","Minister of Health","Marjorie Michel","Minister of Women and Gender Equality"
LPC-196,"Work to end gender-based violence by continuing investments in the National Action Plan to End Gender-Based Violence so that we can support victims and survivors, prevent violence from happening in the first place, and support Indigenous-led approaches that will be prioritized in partnership.","Minister of Women and Gender Equality","Rechie Valdez","Minister of Public Safety; Minister of Indigenous Services; Minister of Finance"
LPC-197,"Unlock new economic opportunities for women by increasing support for the Women's Economic and Leadership Opportunities Fund.","Minister of Women and Gender Equality","Rechie Valdez","Minister of Industry; Minister of Finance; Secretary of State (Small Business and Tourism)"
LPC-198,"Protect and strengthen child care in Canada. Child care responsibilities largely fall to women. A strong, affordable child care system lets women return to the workforce as soon as they are ready so that they can build their careers and have more financial security, for themselves and their families.","Minister of Jobs and Families","Patty Hajdu","Minister of Women and Gender Equality; Secretary of State (Children and Youth); Minister of Finance"
LPC-199,"Work in full partnership with First Nation, Inuit, and Métis to advance and realize the rights of Indigenous Peoples through a distinctions-based approach.","Minister of Crown-Indigenous Relations","Rebecca Alty","Minister of Indigenous Services"
LPC-200,"Support Indigenous-led processes for advancing self-determination and the exercise of jurisdiction in priority areas such as education, health, child and family services as well as community safety and policing.","Minister of Crown-Indigenous Relations","Rebecca Alty","Minister of Indigenous Services; Minister of Health; Secretary of State (Children and Youth); Minister of Public Safety"
LPC-201,"Work in partnership on the implementation of treaties, land claim, and self-government agreements.","Minister of Crown-Indigenous Relations","Rebecca Alty","Minister of Indigenous Services"
LPC-202,"Commit to developing and supporting, in partnership, the structures that support a nation-to-nation, Inuit-Crown, government-to-government relationship to progress on shared priorities.","Minister of Crown-Indigenous Relations","Rebecca Alty","Minister of Indigenous Services"
LPC-203,"Move forward on the important work of the Truth and Reconciliation Commission's Calls to Action and support Indigenous communities to uncover unmarked and undocumented graves and burial sites at residential schools.","Minister of Crown-Indigenous Relations","Rebecca Alty","Minister of Indigenous Services"
LPC-204,"Move forward on the implementation of the National Inquiry into Missing and Murdered Indigenous Women and Girls Calls for Justice and the National Action Plan.","Minister of Crown-Indigenous Relations","Rebecca Alty","Minister of Indigenous Services; Minister of Women and Gender Equality; Minister of Justice and Attorney General of Canada"
LPC-205,"Implement the United Nations Declaration on the Rights of Indigenous Peoples Act and the Action Plan.","Minister of Justice and Attorney General of Canada","Sean Fraser","Minister of Crown-Indigenous Relations"
LPC-206,"Launch a new Indigenous Pathways to Prosperity Skills and Training Fund which will support partnerships between First Nations, Inuit, and Métis communities and organizations, schools, training centres, and colleges to advance access to skills training and education opportunities.","Minister of Indigenous Services","Mandy Gull-Masty","Minister of Jobs and Families; Minister of Finance"
LPC-207,"Accelerate funding for access to post-secondary education so more First Nations, Inuit, and Métis students can go to school and invest in associated infrastructure. Cost should not the barrier. Also invest in Indigenous-led post-secondary education institutions such as the Inuit Nunangat University and the First Nations University.","Minister of Indigenous Services","Mandy Gull-Masty","Minister of Jobs and Families; Minister of Finance"
