commitment_id,canonical_commitment_text,appears_in,reporting_lead_title,all_other_ministers_involved,notes_and_differences
LPC-084,"Keep Canada's supply management off the table in any negotiations with the U.S. Protect Canada's commitment to supply management and supply-managed sectors, including dairy, poultry, and eggs.",Both,Minister of Agriculture and Agri-Food,"President of the King\u2019s Privy Council for Canada and Minister responsible for Canada-U.S. Trade, Intergovernmental Affairs and One Canadian Economy; Minister of International Trade",Matches SFT_036 (protect supply management) and aligns with SFT_035 (protect agricultural producers). Platform is more specific on keeping supply management off the table in negotiations and names sectors.
LPC-085,"Make permanent the doubling of revenue protection for farmers under the AgriStability Program, from $3 million to $6 million per farm, in the case of significant revenue drops caused by tariffs, extreme weather events, and other external shocks.",Platform Only,Minister of Agriculture and Agri-Food,Minister of Finance,Platform-specific commitment.
LPC-086,"Build more domestic processing capacity, including food processing capacity in rural and remote areas, with a new $200 million Domestic Food Processing Fund, applicable to both agricultural and fisheries products. This could include processing milk into baby formula.",Platform Only,Minister of Agriculture and Agri-Food,Minister of Fisheries; Minister of Finance; Secretary of State (Rural Development),Platform-specific commitment.
LPC-087,"Increase support for farmers, ranchers, and producers, including in the fish and seafood sectors, to access new markets for their food products with an additional $30 million in the AgriMarketing Program.",Platform Only,Minister of Agriculture and Agri-Food,Minister of Fisheries; Minister of International Trade; Minister of Finance,Platform-specific commitment.
LPC-088,Increase the support for farmers and ranchers to buy more efficient farm equipment.,Platform Only,Minister of Agriculture and Agri-Food,Minister of Finance,Platform-specific commitment.
LPC-089,"Double the loan guarantee limit, from $500,000 to $1 million, of the Canadian Agricultural Loans Act Program and expand terms to 20 years.",Platform Only,Minister of Agriculture and Agri-Food,Minister of Finance,Platform-specific commitment.
LPC-090,"Work with the National School Food Program and provinces and territories to prioritize the purchasing of Canadian food products as much as possible, supporting our farmers and ensuring Canadian kids have access to local, fresh food grown and caught right here in Canada.",Platform Only,Minister of Jobs and Families,"Minister of Agriculture and Agri-Food; Secretary of State (Children and Youth); President of the King\u2019s Privy Council for Canada and Minister responsible for Canada-U.S. Trade, Intergovernmental Affairs and One Canadian Economy",Platform-specific commitment. Related to LPC-158.
LPC-091,Work with the Canada Food Inspection Agency to ensure mutual recognition of food safety standards with reliable trading partners. This will cut red tape to accelerate access to new technology approvals without compromising health and safety.,Platform Only,Minister of Agriculture and Agri-Food,Minister of Health; Minister of International Trade,Platform-specific commitment.
LPC-092,Invest an additional $250 million in the repair and maintenance of small craft harbours.,Platform Only,Minister of Fisheries,Minister of Finance,Platform-specific commitment.
LPC-093,"Help our fisheries respond to tariffs and reduce the risk involved in expanding to new markets by creating a new Arctic Fisheries Fund, and revamping the Atlantic Fisheries Fund, the Quebec Fisheries Fund, and the British Columbia Salmon Restoration and Innovation Fund, increasing funding by 20% for each.",Platform Only,Minister of Fisheries,Minister of Finance; Minister of International Trade; Minister of Northern and Arctic Affairs; Minister responsible for the Atlantic Canada Opportunities Agency; Minister responsible for Canada Economic Development for Quebec Regions; Minister responsible for Pacific Economic Development Canada,Platform-specific commitment.
LPC-094,"Protect marine life and clean up our shores. Work to clean up ghost gear through new innovations, such as AI-powered data analysis and satellite imagery, GPS-enabled buoys, RFID tags, and acoustic sensors to retrieve ghost gear in real time.",Platform Only,Minister of Fisheries,Minister of Environment and Climate Change; Minister of Artificial Intelligence and Digital Innovation,Platform-specific commitment.
LPC-095,Continue to implement an efficient gun buyback program for assault-style firearms.,Platform Only,Minister of Public Safety,Minister of Finance,Platform-specific commitment.
LPC-096,Legislate a pre-authorization system that ensures that the classification of new firearm models entering the market is determined by the RCMP and not the gun industry.,Both,Minister of Public Safety,Minister of Justice and Attorney General of Canada,Matches SFT_028 (change firearms licensing). Platform specifies an RCMP-led pre-authorization system for new firearm models.
LPC-097,"Automatically revoke gun licences for individuals convicted of violent offences, particularly those convicted of intimate partner violence offences, and those subject to protection orders.",Both,Minister of Public Safety,Minister of Justice and Attorney General of Canada,Matches SFT_030 (revoke weapons licences for those convicted of intimate partner violence or subject to protection orders). Platform is slightly broader with 'violent offences' and specific on 'gun licences'.
LPC-098,"Increase capacity to track down guns used in crimes so we can catch those responsible by investing in the capacity of the RCMP's National Forensic Laboratories in Ottawa and Surrey, as well as the Saskatchewan Ballistics Laboratory.",Platform Only,Minister of Public Safety,Minister of Finance,Platform-specific commitment.
LPC-099,Toughen oversight of firearms licensing and strengthen the enforcement of yellow and red flag requirements by bolstering the capacity of Provincial Chief Firearms Officers to fulfill their obligations.,Both,Minister of Public Safety,"President of the King\u2019s Privy Council for Canada and Minister responsible for Canada-U.S. Trade, Intergovernmental Affairs and One Canadian Economy",Matches SFT_029 (strengthen enforcement of yellow and red flag laws). Platform specifies bolstering the capacity of Provincial Chief Firearms Officers.
LPC-100,"End drug and human trafficking in our communities and boost resources to fight modern threats, such as foreign interference, transnational repression, and cybercrime. Also recruit and train 1000 more RCMP personnel, establish a new RCMP academy within Depot, and increase pay for cadet recruits.",Both,Minister of Public Safety,Minister of Finance; President of the Treasury Board,"Matches SFT_027 (hire 1,000 more RCMP personnel). Platform is broader, including ending drug/human trafficking, fighting modern threats, a new academy, and pay increases, in addition to the RCMP hiring."
LPC-101,"Crack down on drugs, including fentanyl and its precursors, illegal guns, and stop gangs from smuggling stolen cars out of the country. Train 1000 new Canada Border Services Agency (CBSA) officers. In addition, to secure our borders, stand up additional border scanners, drones, and new K-9 teams, to target more suspicious shipments at our land borders, ports, and railyards.",Both,Minister of Public Safety,Minister of Finance,"Matches SFT_031 (stem tide of illegal guns/drugs via scanners, drones, personnel, K-9s) and SFT_018 (legislation for border security). Platform specifies 1000 new CBSA officers and targeting stolen car smuggling. SFT_019 adds detail on CBSA export examination powers for stolen cars."
LPC-102,Put those profiting from fentanyl behind bars by prosecuting more complex drug trafficking and organized crime offences. Invest in the Public Prosecution Services of Canada so that they can do so.,Platform Only,Minister of Justice and Attorney General of Canada,Minister of Public Safety; Minister of Finance,Platform-specific commitment.
LPC-103,Amend the Canada Post Corporation Act to allow police to search for and seize fentanyl and other contraband in Canada Post mail with a general warrant.,Platform Only,Minister of Justice and Attorney General of Canada,Minister of Public Safety,Platform-specific commitment.
LPC-104,"Support the health, including mental health, of our first responders by doubling our collaboration with the Canadian Institute of Health Research, and the Canadian Institute of Public Safety Research and Treatment.",Platform Only,Minister of Health,Minister of Public Safety; Minister of Finance,Platform-specific commitment.
LPC-105,"Amend the Public Service Superannuation Act to expand early retirement eligibility, also known as ""25 and out"" for frontline employees including firefighters, paramedics, correctional service employees, border services officers, Parliamentary protection officers, and search and rescue.",Platform Only,President of the Treasury Board,Minister of Public Safety,Platform-specific commitment.
LPC-106,"Make it harder to get bail for those charged with violent car theft, car theft for a criminal organization, home invasion, and certain human trafficking and smuggling offences by establishing a reverse onus for these crimes.",Both,Minister of Justice and Attorney General of Canada,Minister of Public Safety,"Matches SFT_033 (toughen Criminal Code to make bail harder for repeat offenders in car theft, home invasions, human trafficking, drug smuggling). Platform specifies 'reverse onus'; SFT specifies 'repeat offenders'."
LPC-107,Require the court to prohibit possession of firearms or weapons when releasing someone charged with a violent offence or any offence involving a criminal organization.,Platform Only,Minister of Justice and Attorney General of Canada,Minister of Public Safety,Platform-specific commitment.
LPC-108,"Toughen sentencing guidelines so they are stricter for repeat offenders of car theft, as well as violent and organized crimes by: Directing courts to primarily consider denunciation and deterrence when sentencing repeat car thieves or home invasion offenders.",Platform Only,Minister of Justice and Attorney General of Canada,Secretary of State (Combatting Crime),"Platform-specific detail for toughening sentencing, related to SFT_033's focus on car theft/home invasions."
LPC-109,"Toughen sentencing guidelines by: Allowing for consecutive sentencing for car theft with violence or car theft involving a criminal organization on top of home invasion offences if applicable, or any other offences the person is subject to.",Platform Only,Minister of Justice and Attorney General of Canada,Secretary of State (Combatting Crime),Platform-specific detail for toughening sentencing.
LPC-110,Toughen sentencing guidelines by: Allowing for consecutive sentencing for serious and violent offences.,Platform Only,Minister of Justice and Attorney General of Canada,Secretary of State (Combatting Crime),Platform-specific detail for toughening sentencing.
LPC-111,"Protect victims of sexual violence and intimate partner violence by: Making murder motivated by hate a constructive first-degree offence, including femicide.",Platform Only,Minister of Justice and Attorney General of Canada,Minister of Women and Gender Equality,Platform-specific commitment.
LPC-112,Protect victims of sexual violence and intimate partner violence by: Making it a criminal offence to distribute non-consensual sexual deepfakes.,Platform Only,Minister of Justice and Attorney General of Canada,Minister of Women and Gender Equality,Platform-specific commitment.
LPC-113,Protect victims of sexual violence and intimate partner violence by: Increasing penalties for the distribution of intimate images without consent and sexual assault on summary conviction.,Platform Only,Minister of Justice and Attorney General of Canada,Minister of Women and Gender Equality,Platform-specific commitment.
LPC-114,Introduce legislation to protect children from horrific crimes including online sexploitation and extortion and give law enforcement and prosecutors the tools to stop these crimes and bring perpetrators to justice.,Platform Only,Minister of Justice and Attorney General of Canada,Secretary of State (Children and Youth); Minister of Public Safety,Platform-specific commitment.
LPC-115,"Provide new funding to the Canadian Center for Child Protection in Winnipeg, Manitoba.",Platform Only,Minister of Public Safety,Secretary of State (Children and Youth); Minister of Finance,Platform-specific commitment.
LPC-116,Tighten laws to crack down on child-luring including by raising the maximum sentence.,Platform Only,Minister of Justice and Attorney General of Canada,Secretary of State (Children and Youth),Platform-specific commitment.
LPC-117,Amend the Mandatory Reporting Act to extend the period of preservation of data related to a child sexual offence and extend the limitation period for the prosecution of an offence under that Act.,Platform Only,Minister of Justice and Attorney General of Canada,Secretary of State (Children and Youth),Platform-specific commitment.
LPC-118,"Prevent crime before it starts by extending the Building Safer Communities Fund, and prioritizing approaches to steer youth away from criminal activity. This fund will also support Indigenous-led community safety priorities.",Platform Only,Minister of Public Safety,Secretary of State (Children and Youth); Minister of Indigenous Services; Minister of Finance,Platform-specific commitment.
LPC-119,"Introduce legislation to make it a criminal offence to intentionally and willfully obstruct access to any place of worship, schools, and community centres.",Platform Only,Minister of Justice and Attorney General of Canada,Minister of Public Safety,Platform-specific commitment.
LPC-120,"Make it a criminal offence to intentionally and willfully intimidate or threaten those attending services at these locations (places of worship, schools, and community centres).",Platform Only,Minister of Justice and Attorney General of Canada,Minister of Public Safety,Platform-specific commitment.
LPC-121,Protect the safety of 2SLGBTQI+ people by maintaining support for Fiert\u00e9 Canada Pride in administering funding for security needs at Pride festivals across the country.,Platform Only,Minister of Women and Gender Equality,Minister of Public Safety; Minister of Finance,Platform-specific commitment.
LPC-122,Address the rise of hate by implementing Canada's Action Plan on Combatting Hate.,Platform Only,Minister of Canadian Identity and Culture,Minister of Public Safety,Platform-specific commitment.
LPC-123,Significantly increase the annual budget of the Canada Community Security Program in order to help protect vulnerable communities and places of worship.,Platform Only,Minister of Public Safety,Minister of Finance,Platform-specific commitment.
LPC-124,"Restore Canada's diplomatic presence abroad through a new, full foreign policy. The intention is to deploy more Canadian diplomats and officials abroad, to expand our trade, and to restore Canadian leadership. Also issue a complementary national security review.",Platform Only,Minister of Foreign Affairs,Minister of International Trade; Minister of National Defence; President of the Treasury Board,Platform-specific commitment. SFT_002 is related but more general.
LPC-125,"Build alliances to protect our sovereignty including work to build a security and economic partnership with our Nordic partners to promote Arctic security, Canadian sovereignty, and reconciliation with Indigenous Peoples. This will build on our close relationships, and leverage our close relationships with the Commonwealth and La Francophonie to present a united front against threats to sovereignty around the globe.",Both,Minister of Foreign Affairs,Minister of Northern and Arctic Affairs; Minister of National Defence; Minister of Crown-Indigenous Relations,"Matches SFT_002 (strengthen relationships with reliable trading partners and allies). Platform is more specific about Nordic partnership, Arctic security, and leveraging Commonwealth/La Francophonie."
LPC-126,"Defend our values of peace and stability by continuing to support Ukraine and Ukrainians including: working to bring home Ukrainian children stolen by Russia; building on Canadian leadership to seize Russian sovereign assets and using them to fund Ukraine's reconstruction; and, if needed, build on our peacekeeping heritage and step up to guarantee Ukraine's security.",Platform Only,Minister of Foreign Affairs,Minister of National Defence; Minister of Finance; Minister of Justice and Attorney General of Canada,Platform-specific commitment.
LPC-127,"Expand FinDev's lending capacity to support the private sector in low-income and emerging economies by investing in infrastructure that reduces emissions, addresses global famine and food insecurity, and closes economic development gaps.",Platform Only,Secretary of State (International Development),Minister of Finance; Minister of Environment and Climate Change,Platform-specific commitment.
LPC-128,Protect Canada's proud tradition of supporting the poorest and most vulnerable in times of crisis by maintaining our international humanitarian assistance budget at no less than $800 million per year.,Platform Only,Secretary of State (International Development),Minister of Finance,Platform-specific commitment.
LPC-129,"Assert Canada's leadership in supporting women and girls by protecting funding for sexual and reproductive health care and rights, education, and combatting child marriage.",Platform Only,Minister of Women and Gender Equality,Secretary of State (International Development); Minister of Health,Platform-specific commitment.
LPC-130,"Add additional funding for the LGBTQI+ International Assistance Program to provide support for LGBTQI+ individuals facing persecution abroad, promote global equality, and partner with international organizations. Also expand the Rainbow Refugee Assistance Partnership.",Platform Only,Secretary of State (International Development),"Minister of Women and Gender Equality; Minister of Immigration, Refugees and Citizenship; Minister of Finance",Platform-specific commitment.
LPC-131,"Continue our international climate finance program to focus on bringing in more private capital into helping developing economies reach their climate goals, while supporting the poorest and most vulnerable to adapt to the effects of climate change.",Platform Only,Minister of Environment and Climate Change,Secretary of State (International Development); Minister of Finance,Platform-specific commitment.
LPC-132,Leverage Canadian expertise to solve global problems - including leveraging our tech ecosystem - with increased funding to accelerate progress on the UN Sustainable Development Goals (SDGs).,Platform Only,Secretary of State (International Development),Minister of Artificial Intelligence and Digital Innovation; Minister of Finance,Platform-specific commitment.
LPC-133,"Use Canada's G7 Presidency to catalyze action in defence of our values, including working to protect the rules-based international order from those who want to destroy it.",Both,Minister of Foreign Affairs,nan,Matches SFT_003 (Canada convenes the G7 Summit in June). Platform specifies using the G7 Presidency to catalyze action in defence of values and the rules-based international order.
LPC-134,"Add thousands of new doctors to Canada's health care system by working with the provinces, territories and Indigenous Peoples to: Increase medical school and residency spaces, and build new medical schools and expand residency positions, especially for family medicine.",Platform Only,Minister of Health,"President of the King\u2019s Privy Council for Canada and Minister responsible for Canada-U.S. Trade, Intergovernmental Affairs and One Canadian Economy; Minister of Indigenous Services; Minister of Finance",Platform-specific commitment.
LPC-135,Add thousands of new doctors by: Making it easier for internationally trained doctors and health professionals to practice in Canada. Work with provincial and territorial partners to streamline credential recognition for internationally trained doctors and nurses so that qualified health care professionals already living here can contribute to our health care system.,Platform Only,Minister of Health,"Minister of Immigration, Refugees and Citizenship; Minister of Jobs and Families; President of the King\u2019s Privy Council for Canada and Minister responsible for Canada-U.S. Trade, Intergovernmental Affairs and One Canadian Economy",Platform-specific commitment.
LPC-136,Add thousands of new doctors by: Addressing labour mobility issues and implement pan-Canadian licensure so that health workers can be employed anywhere in Canada.,Platform Only,Minister of Health,"Minister of Jobs and Families; President of the King\u2019s Privy Council for Canada and Minister responsible for Canada-U.S. Trade, Intergovernmental Affairs and One Canadian Economy",Platform-specific commitment. Related to LPC-153.
LPC-137,"Add thousands of new doctors by: Recruiting qualified doctors through a new global recruitment strategy that will fast-track the arrival of doctors into Canada, including Canadians practicing abroad and other U.S.-trained physicians and health researchers. To make sure Canada fully capitalizes on this opportunity, increase funding for research grants and infrastructure at our hospitals and other health care institutions.",Platform Only,Minister of Health,"Minister of Immigration, Refugees and Citizenship; Minister of Finance",Platform-specific commitment.
LPC-138,"Make it easier to set up clinics in new communities through a new-practice fund to help family doctors with the costs of opening a practice, such as new clinic space and medical equipment and technologies.",Platform Only,Minister of Health,Minister of Finance,Platform-specific commitment.
LPC-139,"Build hospitals, clinics, and more by investing $4 billion to construct and renovate community health care infrastructure. This will also support investments in public long-term care; improve access to team-based care, including mental health care services; and provide funding for expensive machinery like MRIs.",Platform Only,Minister of Health,Minister of Housing and Infrastructure; Minister of Finance,Platform-specific commitment. Related to LPC-019.
LPC-140,"Provide Personal Support Workers (PSWs) with up to $1,100 a year by immediately legislating a refundable Health Care Workers Hero Tax Credit.",Platform Only,Minister of Finance,Minister of Health,Platform-specific commitment.
LPC-141,"Support training for nurses, PSWs, and teachers by expanding the Union Training and Innovation Program (UTIP) to include training spaces.",Platform Only,Minister of Jobs and Families,Minister of Health; Minister of Finance,Platform-specific commitment.
LPC-142,Protect and permanently fund Sexual and Reproductive Health Fund.,Platform Only,Minister of Health,Minister of Women and Gender Equality; Minister of Finance,Platform-specific commitment. Related to LPC-192.
LPC-143,Protect Dental Care to ensure Canadians without coverage can receive affordable dental care.,Platform Only,Minister of Health,Minister of Finance,Platform-specific commitment. SFT_006 mentions child care and pharmacare but not dental care explicitly.
LPC-144,"Protect Pharmacare: The first phase of pharmacare provides universal, publicly funded access to diabetes medications for the 3.7 million Canadians living with diabetes and free contraceptives so women have the ability to choose the options that are best for them and their families, regardless of cost.",Both,Minister of Health,Minister of Finance; Minister of Women and Gender Equality,"Matches SFT_006 which commits to protecting programs including pharmacare. Platform details the first phase (diabetes medication, contraceptives)."
LPC-145,"Provide 100,000 young people a year with mental health care by establishing a permanent Youth Mental Health Fund.",Platform Only,Minister of Health,Secretary of State (Children and Youth); Minister of Finance,Platform-specific commitment. Related to LPC-183.
LPC-146,"Provide urgent and immediate support to address the overdose crisis by adding $500 million to the Emergency Treatment Fund to support municipalities, Indigenous Peoples, and community health care organizations to confront the toxic drug and overdose crisis and connect more people to treatment and vital services, faster.",Platform Only,Minister of Health,Minister of Indigenous Services; Minister of Finance; Minister of Emergency Management and Community Resilience,Platform-specific commitment.
LPC-147,"Invest in deeply affordable housing, supportive housing, and shelters in recognition of the link between housing and mental health outcomes. Do this through $6 billion invested in the new Build Canada Homes (BCH) which will build and acquire housing.",Platform Only,Minister of Housing and Infrastructure,Minister of Health; Minister of Finance,Platform-specific commitment.
LPC-148,Continue to fund the 9-8-8 suicide crisis helpline.,Platform Only,Minister of Health,Minister of Finance,Platform-specific commitment.
LPC-149,"Significantly reduce wait times for life-saving medications. By cutting red tape without compromising on safety cut this timeline while maintaining all relevant safety standards, supporting our research community, and delivering lifesaving medicines more quickly.",Platform Only,Minister of Health,President of the Treasury Board,Platform-specific commitment.
LPC-150,Ensure Canadians can securely access their health care data because your medical history should be available instantly to you and your doctor anytime and anywhere in Canada. Table legislation to enable secure access to health data.,Platform Only,Minister of Health,Minister of Artificial Intelligence and Digital Innovation; Minister of Justice and Attorney General of Canada,Platform-specific commitment.
LPC-151,Reduce the administrative burden on doctors with streamlined and standardized forms and scaling up digital tools that significantly reduce paperwork and leave more time for patient visits. Also launch a new program to support doctors in safely and securely adopting new digital tools such as e-prescribing and e-referrals. Also support tools that are bilingual for doctors and nurses.,Platform Only,Minister of Health,Minister of Artificial Intelligence and Digital Innovation; President of the Treasury Board,Platform-specific commitment.
LPC-152,"Launch a Task Force for Public Health Care Innovation to invest and scale up made-in-Canada public health care solutions, leverage, and improve the quality of data, and evaluate and ensure accountability in public investments in health care, including the $25 billion Working Together Agreements signed with provinces and territories.",Platform Only,Minister of Health,"Minister of Artificial Intelligence and Digital Innovation; President of the King\u2019s Privy Council for Canada and Minister responsible for Canada-U.S. Trade, Intergovernmental Affairs and One Canadian Economy",Platform-specific commitment.
LPC-153,"Implement a national licence for physicians and nurses, giving health workers more mobility across the country and making it easier to respond to workforce needs across jurisdictions.",Platform Only,Minister of Health,"Minister of Jobs and Families; President of the King\u2019s Privy Council for Canada and Minister responsible for Canada-U.S. Trade, Intergovernmental Affairs and One Canadian Economy",Platform-specific commitment. Related to LPC-136.
LPC-154,"Protect and strengthen $10-a-day Early Learning and Child Care (ELCC) system to create 100,000 new spaces by 2031. This will increase the supply of not-for-profit and public early learning and child care, getting more families off wait lists, and saving families money. It will also create 35,000 jobs for early learning and child care workers.",Both,Minister of Jobs and Families,Secretary of State (Children and Youth); Minister of Finance,"Matches SFT_006 which commits to protecting programs including child care. Platform provides details on new spaces, jobs, and strengthening the system."
LPC-155,"Ensure ELCC providers have good wages, which is critical to keeping child care centres staffed. Work with provinces and territories so that workers have predictable wage increases and investments in pensions and benefits programs.",Platform Only,Minister of Jobs and Families,"Secretary of State (Children and Youth); President of the King\u2019s Privy Council for Canada and Minister responsible for Canada-U.S. Trade, Intergovernmental Affairs and One Canadian Economy; Minister of Finance",Platform-specific detail for ELCC system.
LPC-156,"Require provinces, territories, and municipalities to expand child care in public infrastructure wherever possible, including in schools and community centres, and in community infrastructure that receives federal financing, so families can get child care close to home.",Platform Only,Minister of Jobs and Families,"Secretary of State (Children and Youth); Minister of Housing and Infrastructure; President of the King\u2019s Privy Council for Canada and Minister responsible for Canada-U.S. Trade, Intergovernmental Affairs and One Canadian Economy",Platform-specific detail for ELCC system.
LPC-157,Link child care with housing development on sites that receive federal financing or affordable housing funds.,Platform Only,Minister of Housing and Infrastructure,Minister of Jobs and Families; Secretary of State (Children and Youth),Platform-specific commitment.
LPC-158,Make the National School Food Program permanent. Prioritize Canadian-made food as much as possible.,Platform Only,Minister of Jobs and Families,Secretary of State (Children and Youth); Minister of Agriculture and Agri-Food; Minister of Finance,Platform-specific commitment. Related to LPC-090.
LPC-159,"Continue to advance the National Caregiving Strategy. Move forward with a comprehensive plan to better support those caring for loved ones. The Strategy will focus on early recognition of caregivers, simplified and increased access to government benefits and services, and better coordinating on emotional, financial, and practical support with the provinces and territories.",Platform Only,Minister of Jobs and Families,Minister of Health; Secretary of State (Seniors); Minister of Finance,Platform-specific commitment.
LPC-160,"Protect and deliver the Canada Child Benefit, which helps low- and middle-income families afford the costs of raising a child.",Platform Only,Minister of Jobs and Families,Minister of Finance; Secretary of State (Children and Youth),Platform-specific commitment.
LPC-161,Protect more nature by advancing the creation of at least 10 new National Parks and Marine Protected Areas; supporting the creation of 15 new urban parks and green spaces in municipalities; halting and reversing nature and biodiversity loss through reinforced efforts to conserve 30% of lands and waters by 2030; and implementing the Global Biodiversity Framework.,Both,Minister of Environment and Climate Change,Secretary of State (Nature); Minister of Fisheries; Minister of Finance,"Matches SFT_037 (protect more of Canada\u2019s nature through new national parks, urban parks, MPAs, etc.). Platform provides specific targets (e.g., 10 new National Parks, 15 urban parks, 30% conservation by 2030)."
LPC-162,"Protect more of our freshwater as it becomes increasingly attractive to foreign actors by developing a National Water Security Strategy and prohibiting their inclusion in trade deals. Also create a strategic water security technology fund to advance development of related Canadian R&D, AI, monitoring, and data tools. Also modernize the Canada Water Act to address evolving challenges. And through the Canada Water Agency, strengthen national water stewardship and launch a municipal stream under the Freshwater Action Plan for regions facing freshwater challenges and equipping them to safeguard local water resources. Also invest in the deployment of new technologies and enforcement efforts in the fight against aquatic invasive species.",Platform Only,Minister of Environment and Climate Change,Minister of Foreign Affairs; Minister of International Trade; Minister of Artificial Intelligence and Digital Innovation; Minister of Finance,Platform-specific commitment.
LPC-163,"Launch the Canadian Nature Protection Fund to restore old-growth forests, safeguard carbon-rich peatlands, and revive our coastal waters. Every dollar Canadians, businesses, and philanthropists contribute will be matched by the federal government, up to $250 million.",Platform Only,Minister of Environment and Climate Change,Secretary of State (Nature); Minister of Finance,Platform-specific commitment.
LPC-164,Conserve nature in partnership with Indigenous Peoples by expanding the Indigenous Guardians Program to include 50 new Arctic Indigenous Guardians.,Platform Only,Minister of Environment and Climate Change,Minister of Crown-Indigenous Relations; Minister of Indigenous Services; Minister of Northern and Arctic Affairs; Secretary of State (Nature),Platform-specific commitment.
LPC-165,"Champion nature conservation internationally by stopping illegal wildlife trade across our borders with modern digital solutions; ratifying the High Seas Treaty as soon as possible; and supporting growth of our marine resource sectors, while advocating for strong evidence-based international protections.",Platform Only,Minister of Environment and Climate Change,Minister of Foreign Affairs; Minister of Public Safety; Minister of Fisheries,Platform-specific commitment.
LPC-166,Improving Parks Canada's disaster response capabilities... Invest to ensure our national parks have a well-resourced response force including expanding and equipping Parks Canada's wildfire response teams with additional training and modern firefighting equipment to meet emerging wildfire threats. Increase investment in FireSmart programs... ensure comprehensive evacuation planning... update building codes and infrastructure standards...,Platform Only,Minister of Environment and Climate Change,Minister of Emergency Management and Community Resilience; Secretary of State (Nature); Minister of Finance,Platform-specific commitment.
LPC-167,"Prioritize natural infrastructure, like forested areas and wetlands. The government will use a mix of conservation funding, climate change adaptation funding, and leverage public-private infrastructure investments to invest in nature that protects communities.",Platform Only,Minister of Environment and Climate Change,Minister of Housing and Infrastructure; Minister of Emergency Management and Community Resilience; Secretary of State (Nature); Minister of Finance,Platform-specific commitment.
LPC-168,"Map Canada's ecologically sensitive areas. Map Canada's carbon and biodiversity-rich ecological landscapes \u2013 including ocean coastlines, peatlands, and permafrost areas \u2013 to enable a more holistic ecosystem approach to conservation, carbon accounting, and project development.",Platform Only,Minister of Environment and Climate Change,Secretary of State (Nature),Platform-specific commitment.
LPC-169,Proactively rehabilitate and mitigate environmental and species at risk impacts in areas where we expect there to be significant infrastructure development over the next five years.,Platform Only,Minister of Environment and Climate Change,Minister of Housing and Infrastructure; Minister of Transport and Internal Trade; Minister of Energy and Natural Resources,Platform-specific commitment.
LPC-170,Connect Canadians with nature by making access to national parks and historic sites free for this summer.,Platform Only,Minister of Environment and Climate Change,Secretary of State (Nature); Minister of Finance,Platform-specific commitment. Related to LPC-038.
LPC-171,"Establish a 12% target for Francophone immigration outside of Quebec by 2029, a 20% increase from current targets.",Platform Only,"Minister of Immigration, Refugees and Citizenship",Minister of Canadian Identity and Culture,Platform-specific commitment. Related to LPC-257.
LPC-172,"Support entrepreneurs in Official Language Minority Communities looking to scale their businesses, notably by facilitating access to Francophone and bilingual workers.",Platform Only,Minister of Canadian Identity and Culture,Minister of Industry; Secretary of State (Small Business and Tourism),Platform-specific commitment.
LPC-173,Continue to invest in community spaces for English-speaking minorities in Quebec and French speaking minorities across the country.,Platform Only,Minister of Canadian Identity and Culture,Minister of Finance,Platform-specific commitment.
LPC-174,"Promote French-language educational pursuits across Canada by collaborating with provinces and territories to invest in educational and community spaces, such as early learning and child care that serve official language minority communities; creating a scholarship for Francophone students who continue their post-secondary studies in French in a minority context.",Platform Only,Minister of Canadian Identity and Culture,"Minister of Jobs and Families; President of the King\u2019s Privy Council for Canada and Minister responsible for Canada-U.S. Trade, Intergovernmental Affairs and One Canadian Economy; Minister of Finance",Platform-specific commitment.
LPC-175,Protect and modernize CBC/Radio-Canada to ensure that it continues to provide vital programming in both French and English.,Platform Only,Minister of Canadian Identity and Culture,nan,"Platform-specific commitment, related to LPC-027 and SFT_034."
LPC-176,Protect Canadians' retirement savings from volatile market conditions by reducing the minimum amount that must be withdrawn from a Registered Retirement Income Fund (RRIF) by 25% for one year.,Platform Only,Minister of Finance,Secretary of State (Seniors),Platform-specific commitment.
LPC-177,"Give a temporary income boost to low-income seniors by increasing the Guaranteed Income Supplement (GIS) by 5%, providing up to an additional $652 in income per year, tax-free.",Platform Only,Minister of Jobs and Families,Secretary of State (Seniors); Minister of Finance,Platform-specific commitment.
LPC-178,"Get young Canadians started with their first job by connecting young people with the jobs and skill development opportunities they need to launch their professional lives by: Providing funding and expand the mandates, where appropriate, for the Student Work Placement Program, the Youth Employment and Skills Strategy (YESS), Canada Summer Jobs, and the Canadian Service Corps.",Platform Only,Minister of Jobs and Families,Secretary of State (Children and Youth); Minister of Finance,Platform-specific commitment.
LPC-179,"Establish a Youth Climate Corps pilot which will provide paid skills training for young Canadians to quickly respond to climate emergencies, support recovery, and strengthen resilience in communities across the country.",Platform Only,Minister of Environment and Climate Change,Secretary of State (Children and Youth); Minister of Jobs and Families; Minister of Emergency Management and Community Resilience; Minister of Finance,Platform-specific commitment.
LPC-180,Continue to uphold the removal of interest on Canada Student Loans and Canada Apprentice Loans.,Platform Only,Minister of Jobs and Families,Minister of Finance,Platform-specific commitment.
